"","Date","Belgium","France","Germany","Italy","Luxembourg"
"861",2022-05-31,"4152558","28703050","26305996","17421410","247935"
"862",2022-06-01,"4152558","28721343","26360953","17440232","248279"
"863",2022-06-02,"4158754","28744662","26409455","17457950","248702"
"864",2022-06-03,"4158754","28769716","26452148","17467642","248972"
"865",2022-06-04,"4158754","28794888","26452148","17490451","248972"
"866",2022-06-05,"4158754","28815430","26452148","17505973","248972"
"867",2022-06-06,"4158754","28821614","26452148","17514589","249319"
"868",2022-06-07,"4164698","28825328","26498361","17543136","249319"
"869",2022-06-08,"4164698","28879130","26583016","17566061","249939"
"870",2022-06-09,"4170252","28917357","26660652","17589595","251873"
"871",2022-06-10,"4170252","28917357","26738530","17611607","251873"
"872",2022-06-11,"4170252","28917263","26738530","17634065","251873"
"873",2022-06-12,"4170252","28917263","26738530","17653375","251873"
"874",2022-06-13,"4177440","28917263","26809245","17664043","251873"
"875",2022-06-14,"4177440","29081355","26915085","17703887","252693"
"876",2022-06-15,"4177440","29133309","27007429","17736696","253318"
"877",2022-06-16,"4187940","29186390","27096571","17773764","254173"
"878",2022-06-17,"4187940","29236926","27124689","17809934","254865"
"879",2022-06-18,"4187940","29236926","27124689","17844905","254865"
"880",2022-06-19,"4187940","29236926","27124689","17879160","254865"
"881",2022-06-20,"4197345","29338883","27211896","17896065","255469"
"882",2022-06-21,"4197345","29422836","27334993","17959329","256678"
"883",2022-06-22,"4197345","29499502","27454225","18014202","257503"
"884",2022-06-23,"4211511","29579354","27573585","18071634","258467"
"885",2022-06-24,"4211511","29658559","27681775","18128044","258467"
"886",2022-06-25,"4211511","29658559","27681775","18184917","258467"
"887",2022-06-26,"4211511","29658559","27681775","18234242","258467"
"888",2022-06-27,"4225222","29823387","27771911","18259261","258467"
"889",2022-06-28,"4225222","29958577","27914240","18343422","261163"
"890",2022-06-29,"4225222","30083301","28048190","18438877","263167"
"891",2022-06-30,"4246078","30216647","28180861","18523111","263387"
"892",2022-07-01,"4246078","30341632","28293960","18610011","264571"
"893",2022-07-02,"4246078","30341632","28293960","18695954","264571"
"894",2022-07-03,"4246078","30341632","28293960","18768871","264571"
"895",2022-07-04,"4265296","30584880","28394995","18805756","265323"
"896",2022-07-05,"4265296","30781967","28542484","18938771","266904"
"897",2022-07-06,"4265296","30936582","28673212","19048788","267707"
"898",2022-07-07,"4294880","31097847","28808614","19157174","269086"
"899",2022-07-08,"4294880","31235794","28926346","19259037","270130"
"900",2022-07-09,"4294880","31235794","28926346","19357938","270130"
"901",2022-07-10,"4294880","31235794","28926346","19439501","270130"
"902",2022-07-11,"4320107","31487131","29025760","19523262","271049"
"903",2022-07-12,"4320107","31659753","29180489","19667320","272520"
"904",2022-07-13,"4320107","31787395","29308100","19778911","273401"
"905",2022-07-14,"4349050","31787395","29460249","19887543","274677"
"906",2022-07-15,"4349050","31787395","29569943","19985479","275512"
"907",2022-07-16,"4349050","31787395","29569943","20076863","275512"
"908",2022-07-17,"4349050","31787395","29569943","20145859","275512"
"909",2022-07-18,"4368611","32141518","29692989","20177910","276134"
"910",2022-07-19,"4368611","32269027","29853680","20299013","277350"
"911",2022-07-20,"4381331","32358740","29994679","20385814","277888"
"912",2022-07-21,"4381331","32439609","30131303","20467349","278975"
"913",2022-07-22,"4381331","32513712","30239122","20539016","279517"
"914",2022-07-23,"4381331","32513712","30239122","20608190","279517"
"915",2022-07-24,"4381331","32513712","30239122","20660065","279517"
"916",2022-07-25,"4398161","32643471","30331133","20684182","280088"
"917",2022-07-26,"4398161","32723412","30476605","20772833","280929"
"918",2022-07-27,"4398161","32782050","30598385","20837233","281271"
"919",2022-07-28,"4414255","32827964","30702511","20898059","281839"
"920",2022-07-29,"4414255","32872716","30787309","20952476","282252"
"921",2022-07-30,"4414255","32872716","30787309","21002773","282252"
"922",2022-07-31,"4414255","32872716","30787309","21040025","282252"
"923",2022-08-01,"4425201","32952778","30854175","21059545","282252"
"924",2022-08-02,"4425201","33001908","30956873","21124644","282929"
"925",2022-08-03,"4425201","33040311","31044554","21170600","283214"
"926",2022-08-04,"4425201","33068287","31119199","21213559","283507"
"927",2022-08-05,"4437299","33098879","31178705","21251774","283721"
"928",2022-08-06,"4437299","33098879","31178705","21286771","283721"
"929",2022-08-07,"4437299","33098879","31178705","21313427","284931"
"930",2022-08-08,"4444819","33153696","31228322","21325402","284931"
"931",2022-08-09,"4444819","33191512","31307020","21368480","284931"
"932",2022-08-10,"4444819","33218593","31379757","21400179","284931"
"933",2022-08-11,"4453483","33242582","31439645","21428602","284931"
"934",2022-08-12,"4453483","33256395","31489484","21455291","284931"
"935",2022-08-13,"4453483","33256395","31489484","21480076","284931"
"936",2022-08-14,"4453483","33256395","31489484","21499531","284931"
"937",2022-08-15,"4453483","33256395","31535340","21509424","284931"
"938",2022-08-16,"4460582","33298533","31599085","21518365","284931"
"939",2022-08-17,"4460582","33334278","31666475","21554626","285145"
"940",2022-08-18,"4466095","33357883","31725160","21581917","285345"
"941",2022-08-19,"4466095","33372974","31771884","21606606","285552"
"942",2022-08-20,"4466095","33372974","31771884","21630998","285552"
"943",2022-08-21,"4466095","33372974","31771884","21650468","285552"
"944",2022-08-22,"4471620","33411676","31808228","21660885","285689"
"945",2022-08-23,"4471620","33440664","31868639","21696242","285883"
"946",2022-08-24,"4471620","33461953","31921578","21721630","286045"
"947",2022-08-25,"4477770","33481790","31970779","21745065","286188"
"948",2022-08-26,"4477770","33493920","32008122","21767060","286289"
"949",2022-08-27,"4477770","33493920","32008122","21788862","286289"
"950",2022-08-28,"4477770","33493920","32008122","21806509","286289"
"951",2022-08-29,"4482315","33529669","32041350","21814856","286289"
"952",2022-08-30,"4482315","33553391","32095854","21845943","286660"
"953",2022-08-31,"4482315","33572631","32145157","21867757","286827"
"954",2022-09-01,"4488054","33591277","32184553","21888255","286968"
"955",2022-09-02,"4488054","33600422","32218483","21907413","287100"
"956",2022-09-03,"4488054","33600422","32218483","21925073","288658"
"957",2022-09-04,"4488054","33600422","32218483","21938269","288658"
"958",2022-09-05,"4492773","33632356","32247828","21944877","288658"
"959",2022-09-06,"4492773","33659274","32297537","21969725","288658"
"960",2022-09-07,"4497199","33679416","32344032","21987295","288658"
"961",2022-09-08,"4497199","33699282","32386089","22004612","288658"
"962",2022-09-09,"4497199","33718369","32422084","22020154","288658"
"963",2022-09-10,"4497199","33718369","32422084","22035291","288658"
"964",2022-09-11,"4497199","33718369","32422084","22047192","288658"
"965",2022-09-12,"4497199","33754160","32452250","22054443","288658"
"966",2022-09-13,"4504106","33796010","32507180","22077601","288658"
"967",2022-09-14,"4504106","33825536","32558479","22096450","288658"
"968",2022-09-15,"4511590","33856227","32604993","22114423","288658"
"969",2022-09-16,"4511590","33884825","32643742","22131785","288721"
"970",2022-09-17,"4511590","33884825","32643742","22148935","288721"
"971",2022-09-18,"4511590","33884825","32643742","22161016","288721"
"972",2022-09-19,"4511590","33946300","32680356","22169273","288865"
"973",2022-09-20,"4517212","33998116","32740593","22197658","289164"
"974",2022-09-21,"4517212","34036366","32797308","22218846","289386"
"975",2022-09-22,"4525931","34074830","32854286","22241369","289633"
"976",2022-09-23,"4525931","34110990","32905086","22262452","289831"
"977",2022-09-24,"4525931","34110990","32905086","22284812","289831"
"978",2022-09-25,"4525931","34110990","32905086","22303606","289831"
"979",2022-09-26,"4533249","34187868","32952050","22313612","290074"
"980",2022-09-27,"4533249","34261507","33041332","22358487","290464"
"981",2022-09-28,"4533249","34313401","33137143","22395282","290945"
"982",2022-09-29,"4544505","34364144","33216006","22432803","291380"
"983",2022-09-30,"4544505","34412387","33312373","22467278","291758"
"984",2022-10-01,"4544505","34412387","33312373","22500346","291758"
"985",2022-10-02,"4544505","34412387","33312373","22529252","291758"
"986",2022-10-03,"4553333","34505126","33312373","22542568","291758"
"987",2022-10-04,"4553333","34592885","33386229","22602840","292788"
"988",2022-10-05,"4553333","34659449","33519761","22648063","293201"
"989",2022-10-06,"4566207","34724986","33652255","22692912","294753"
"990",2022-10-07,"4566207","34785735","33826367","22737577","294753"
"991",2022-10-08,"4566207","34785735","33826367","22781293","294753"
"992",2022-10-09,"4566207","34785735","33826367","22815736","294753"
"993",2022-10-10,"4575519","34895004","33948632","22830825","294931"
"994",2022-10-11,"4575519","34986866","34121168","22896742","295792"
"995",2022-10-12,"4575519","35055510","34257916","22944496","296195"
"996",2022-10-13,"4586564","35119728","34403129","22990201","296941"
"997",2022-10-14,"4586564","35178403","34517327","23030777","297757"
"998",2022-10-15,"4586564","35178403","34517327","23069745","297757"
"999",2022-10-16,"4586564","35178403","34517327","23099983","297757"
"1000",2022-10-17,"4594338","35284855","34608837","23114013","297835"
"1001",2022-10-18,"4594338","35372521","34758889","23172370","298647"
"1002",2022-10-19,"4594338","35435552","34888963","23214073","299022"
"1003",2022-10-20,"4602438","35492345","35005769","23254633","299715"
"1004",2022-10-21,"4602438","35541081","35098062","23290747","300099"
"1005",2022-10-22,"4602438","35541081","35098062","23322522","300099"
"1006",2022-10-23,"4602438","35541081","35098062","23348075","300099"
"1007",2022-10-24,"4607296","35623204","35172694","23359680","300436"
"1008",2022-10-25,"4607296","35679251","35288228","23408393","301031"
"1009",2022-10-26,"4607296","35720436","35383015","23443429","301353"
"1010",2022-10-27,"4612239","35757525","35461920","23475187","301761"
"1011",2022-10-28,"4612239","35782940","35523412","23504224","302031"
"1012",2022-10-29,"4612239","35782940","35523412","23531023","302031"
"1013",2022-10-30,"4612239","35782940","35523412","23531023","302031"
"1014",2022-10-31,"4612239","35825887","35571131","23531023","302221"
"1015",2022-11-01,"4612239","35825887","35619687","23531023","302221"
"1016",2022-11-02,"4612239","35861040","35649648","23531023","302221"
"1017",2022-11-03,"4617315","35902678","35728277","23531023","302868"
"1018",2022-11-04,"4617315","35932097","35784912","23642011","303025"
"1019",2022-11-05,"4617315","35932097","35784912","23642011","303025"
"1020",2022-11-06,"4617315","35932097","35784912","23642011","303025"
"1021",2022-11-07,"4619721","35983760","35823771","23642011","303214"
"1022",2022-11-08,"4619721","36024351","35884834","23642011","303464"
"1023",2022-11-09,"4619721","36053053","35932654","23642011","303571"
"1024",2022-11-10,"4622723","36080121","35971322","23642011","303571"
"1025",2022-11-11,"4622723","36080121","36005025","23823192","303571"
"1026",2022-11-12,"4622723","36080121","36005025","23823192","303571"
"1027",2022-11-13,"4622723","36080121","36005025","23823192","303571"
"1028",2022-11-14,"4624251","36145223","36033395","23823192","304151"
"1029",2022-11-15,"4624251","36193559","36080574","23823192","304377"
"1030",2022-11-16,"4624251","36227341","36119184","23823192","304556"
"1031",2022-11-17,"4627186","36260475","36152490","23823192","304770"
"1032",2022-11-18,"4627186","36297077","36180077","24031538","304962"
"1033",2022-11-19,"4627186","36297077","36180077","24031538","304962"
"1034",2022-11-20,"4627186","36297077","36180077","24031538","304962"
"1035",2022-11-21,"4627186","36365135","36205405","24031538","305163"
"1036",2022-11-22,"4629552","36429599","36247081","24031538","305434"
"1037",2022-11-23,"4629552","36478787","36280371","24031538","305694"
"1038",2022-11-24,"4633112","36529317","36318461","24031538","305929"
"1039",2022-11-25,"4633112","36577224","36348477","24260660","306139"
"1040",2022-11-26,"4633112","36577224","36348477","24260660","306139"
"1041",2022-11-27,"4633112","36577224","36348477","24260660","306139"
"1042",2022-11-28,"4636264","36671077","36373165","24260660","306343"
"1043",2022-11-29,"4636264","36762891","36419717","24260660","306599"
"1044",2022-11-30,"4639411","36829869","36463485","24260660","306843"
"1045",2022-12-01,"4639411","36897875","36499600","24260660","307089"
"1046",2022-12-02,"4639411","36955945","36530020","24488080","307290"
"1047",2022-12-03,"4639411","36955945","36530020","24488080","307290"
"1048",2022-12-04,"4639411","36955945","36530020","24488080","307290"
"1049",2022-12-05,"4644478","37058977","36557861","24488080","307523"
"1050",2022-12-06,"4644478","37164493","36604648","24488080","307813"
"1051",2022-12-07,"4644478","37240245","36649979","24488080","308061"
"1052",2022-12-08,"4648042","37311842","36690235","24488080","308274"
"1053",2022-12-09,"4648042","37375811","36726061","24709404","308572"
"1054",2022-12-10,"4648042","37375811","36726061","24709404","308572"
"1055",2022-12-11,"4648042","37375811","36726061","24709404","308572"
"1056",2022-12-12,"4654473","37494593","36758926","24709404","308800"
"1057",2022-12-13,"4654473","37590232","36812671","24709404","309253"
"1058",2022-12-14,"4654473","37660098","36860998","24709404","309432"
"1059",2022-12-15,"4658298","37722639","36905873","24709404","309818"
"1060",2022-12-16,"4658298","37776673","36946574","24884034","310066"
"1061",2022-12-17,"4658298","37776673","36946574","24884034","310066"
"1062",2022-12-18,"4658298","37776673","36946574","24884034","310066"
"1063",2022-12-19,"4658298","37874694","36980883","24884034","310316"
"1064",2022-12-20,"4664481","37945906","37035898","24884034","310717"
"1065",2022-12-21,"4664481","38000519","37088426","24884034","311035"
"1066",2022-12-22,"4668248","38049988","37136414","24884034","311435"
"1067",2022-12-23,"4668248","38091831","37177845","25021606","311746"
"1068",2022-12-24,"4668248","38091831","37177845","25021606","311746"
"1069",2022-12-25,"4668248","38091831","37177845","25021606","311746"
"1070",2022-12-26,"4668248","38132575","37177845","25021606","311746"
"1071",2022-12-27,"4668248","38192674","37211978","25021606","311746"
"1072",2022-12-28,"4668248","38218755","37272430","25021606","311746"
"1073",2022-12-29,"4668248","38243191","37345969","25021606","311746"
"1074",2022-12-30,"4668248","38266999","37369865","25143705","311746"
"1075",2022-12-31,"4668248","38266999","37369866","25143705","311746"
"1076",2023-01-01,"4668248","38266999","37369867","25143705","311746"
"1077",2023-01-02,"4668248","38306086","37410650","25143705","311746"
"1078",2023-01-03,"4668248","38326822","37446795","25143705","313150"
"1079",2023-01-04,"4668248","38340927","37475448","25143705","313150"
"1080",2023-01-05,"4682234","38352463","37496370","25143705","313421"
"1081",2023-01-06,"4682234","38358817","37509539","25279682","313505"
"1082",2023-01-07,"4682234","38358817","37509539","25279682","313505"
"1083",2023-01-08,"4682234","38358817","37509539","25279682","313505"
"1084",2023-01-09,"4682234","38376037","37540072","25279682","313594"
"1085",2023-01-10,"4682234","38383853","37562191","25279682","313718"
"1086",2023-01-11,"4682234","38391488","37581570","25279682","313806"
"1087",2023-01-12,"4686147","38398647","37594526","25279682","313882"
"1088",2023-01-13,"4686147","38403672","37605135","25363742","313952"
"1089",2023-01-14,"4686147","38403672","37605135","25363742","313952"
"1090",2023-01-15,"4686147","38403672","37605135","25363742","313952"
"1091",2023-01-16,"4686147","38414502","37622357","25363742","314003"
"1092",2023-01-17,"4686147","38422847","37637807","25363742","314076"
"1093",2023-01-18,"4686147","38428741","37649808","25363742","314142"
"1094",2023-01-19,"4688927","38433733","37659518","25363742","314186"
"1095",2023-01-20,"4688927","38437213","37668384","25415630","314223"
"1096",2023-01-21,"4688927","38437213","37668384","25415630","314223"
"1097",2023-01-22,"4688927","38437213","37668384","25415630","314223"
"1098",2023-01-23,"4688927","38446041","37684456","25415630","314260"
"1099",2023-01-24,"4688927","38452504","37701193","25415630","314432"
"1100",2023-01-25,"4688927","38457851","37715000","25415630","314481"
"1101",2023-01-26,"4691499","38463138","37728155","25415630","314481"
"1102",2023-01-27,"4691499","38467819","37739472","25453789","314481"
"1103",2023-01-28,"4691499","38467819","37739472","25453789","314607"
"1104",2023-01-29,"4691499","38467819","37739472","25453789","314607"
"1105",2023-01-30,"4691499","38476034","37758773","25453789","314639"
"1106",2023-01-31,"4691499","38482878","37779833","25453789","314731"
"1107",2023-02-01,"4691499","38487384","37796790","25453789","314769"
"1108",2023-02-02,"4695403","38491405","37810199","25453789","314867"
"1109",2023-02-03,"4695403","38495010","37822577","25488166","314882"
"1110",2023-02-04,"4695403","38495010","37822577","25488166","314882"
"1111",2023-02-05,"4695403","38495010","37822577","25488166","314882"
"1112",2023-02-06,"4695403","38501672","37842223","25488166","314949"
"1113",2023-02-07,"4695403","38506117","37861703","25488166","315074"
"1114",2023-02-08,"4695403","38510108","37879714","25488166","315173"
"1115",2023-02-09,"4700949","38513761","37893892","25488166","315268"
"1116",2023-02-10,"4700949","38517125","37893892","25519067","315352"
"1117",2023-02-11,"4700949","38517125","37907312","25519067","315352"
"1118",2023-02-12,"4700949","38517125","37907312","25519067","315352"
"1119",2023-02-13,"4700949","38522794","37928944","25519067","315412"
"1120",2023-02-14,"4700949","38527780","37949446","25519067","315528"
"1121",2023-02-15,"4700949","38531752","37970357","25519067","315590"
"1122",2023-02-16,"4700949","38535773","37986750","25519067","315680"
"1123",2023-02-17,"4708273","38539362","38002114","25547414","315778"
"1124",2023-02-18,"4708273","38539362","38002114","25547414","315778"
"1125",2023-02-19,"4708273","38539362","38002114","25547414","315778"
"1126",2023-02-20,"4708273","38547495","38018111","25547414","315778"
"1127",2023-02-21,"4708273","38553269","38043874","25547414","315778"
"1128",2023-02-22,"4708273","38557586","38068912","25547414","315945"
"1129",2023-02-23,"4717655","38562075","38090089","25547414","315945"
"1130",2023-02-24,"4717655","38565992","38111063","25576852","315945"
"1131",2023-02-25,"4717655","38565992","38111063","25576852","315945"
"1132",2023-02-26,"4717655","38565992","38111063","25576852","315945"
"1133",2023-02-27,"4717655","38573618","38144033","25576852","315945"
"1134",2023-02-28,"4717655","38579269","38168908","25576852","315945"
"1135",2023-03-01,"4717655","38583794","38189954","25576852","316601"
"1136",2023-03-02,"4727795","38587990","38202571","25576852","316601"
"1137",2023-03-03,"4727795","38591184","38210850","25603510","316601"
"1138",2023-03-04,"4727795","38591184","38210850","25603510","316601"
"1139",2023-03-05,"4727795","38591184","38210851","25603510","316601"
"1140",2023-03-06,"4727795","38599330","38210851","25603510","316601"
"1141",2023-03-07,"4727795","38606393","38231610","25603510","316601"
"1142",2023-03-08,"4727795","38612201","38241231","25603510","317367"
"1143",2023-03-09,"4739365","38618509","38249060","25603510","317367"
